序号,省(区、市),单位名称,统一社会信用代码
1610,河南,河南仙鹤特种浆纸有限公司,914113257919074250
1611,河南,桐柏海晶碱业有限责任公司,91411304749227223A
1612,河南,国电民权发电有限公司,9141142716174528W
1613,河南,中电(商丘)热电有限公司,914114006996385U
1614,河南,河南神火发电有限公,914114006871059R
1615,河南,商丘裕东发电有限责任公司,9141400175034131P
1616,河南,河南龙宇煤化工有限公司,91410000768766352
1617,河南,大唐信阳发电有限责任公司,91411500794272250X
1618,河南,大唐信阳华豫发电有限责任公司,91411500270220687J
1619,河南,驻马店市白云纸业有限公司,914100007178611668
1620,河南,华能河南中原燃气发电有限公司,91411700719101483L
1621,河南,中国平煤神马集团尼龙化工股份有限公司遂平化工厂,91411700753876285Q
1622,河南,国电驻马店热电有限公司,91411728160311423
1623,河南,国电豫源发电有限责任公司,91411700671691439X
1624,河南,华能沁北发电有限责任公司,91419001750738530W
1625,河南,河南豫光合作有限公司,91419001735514918K
1626,河南,国电鲤鱼山电有限公司,91419001753877389H
1627,河南,河南阳城发电有限责任公司,91419001755193656H
1628,河南,周口龙源发电有限公司,914290003305051K
1629,河南,湖北华电襄阳发电有限公司,91431600730982120F
1630,湖北,国电长源第一发电有限责任公司,91420000788174929Y
1631,湖北,国电青山热电有限公司,91420000717605611M
1632,湖北,华能武汉发电有限责任公司,9142000077072103A
1633,湖北,武汉博纬电力发展有限公司,9142000033024252XX
1634,湖北,国电长源汉川第一发电有限公司,91421001646282TH
1635,湖北,国电汉川发电有限公司,9142000070969087B
1636,湖北,湖北紫露集团鄂州发电有限公司,91420984679466014D
1637,湖北,湖北西塞山发电有限公司,91420005758911646D
1638,湖北,华润电力湖北有限公司,9141000722014605E
1639,湖北,湖北华电随州发电有限责任公司,91420000714630630X
1640,湖北,黄冈华电随州发电有限责任公司,9142000057505065K
1641,湖北,黄石分山发电有限责任公司,91421000575073220P
1642,湖北,黄石西塞山发电有限责任公司,91420991514920911X
1643,湖北,国电湖北襄阳发电有限责任公司,91420011201250X
1644,湖北,湖北应城热电有限责任公司,9140984559904235
1645,湖北,汉川市硫湘电厂有限责任公司,91421000450561876A
1646,湖北,华电湖北发电有限责任公司黄石热电分公司,91421214714630662G
1647,湖北,蕲春县嘉施电气有限责任公司,
