序号,省（区、市）,单位名称,统一社会信用代码
1382,山东,山东凯翔阳光集团有限公司,9137121165882099G
1383,山东,日照阳光热电有限公司,9137100746659997XT
1384,山东,华能国际电力股份有限公司日照电厂,9137110072027996W
1385,山东,山东日照发电有限公司,91371100614072180F
1386,山东,青县七源热电有限公司,91371221685324735
1387,山东,日照华泰纸业有限公司,9137112268588663C
1388,山东,日照新源热力有限公司,9137113052399236P
1389,山东,莒南新源热电有限公司,91371237782331485
1390,山东,莒南力源热电有限公司,9137127761847473N
1391,山东,华能临沂发电有限公司,91371001682717872
1392,山东,山东联合煤通化工股份有限公司,91371300613999830P
1393,山东,临沂恒昌热电有限责任公司,91371232580654873C
1394,山东,临沂华控热电有限公司,91371234747834724B
1395,山东,山东黎达热电科技有限公司,91371236555230328G
1396,山东,沂水大地热兴开发有限公司,91371232724267106M
1397,山东,山东民达生物科技有限公司,9137132689845145X
1398,山东,青银食品有限公司,9137133216857107B
1399,山东,沂水宏热电有限责任公司,91371232740964489O
1400,山东,山东电力热力有限公司,91391321346330273
1401,山东,诺贝尔（中国）农业有限公司,913710006874230XQ
1402,山东,金沂蒙集团有限公司,91371329168846325C
1403,山东,临沂集团供热服务有限公司,9137132908084423K
1404,山东,临沂恒源热力集团有限公司,91371330608607775H
1405,山东,临沂昊盛金陵润滑油集团有限公司,91371300613993038
1406,山东,临沭源热电有限公司,91371300334613802R
1407,山东,国家能源集团发电有限公司,91371325670013189T
1408,山东,临沂田阳光热力有限公司,91371325328377063F
1409,山东,德州华能北化有限公司,913714006726186R4
1410,山东,德州华化化工有限公司,913714006676053140
1411,山东,山东中花茶源农业有限公司,913721157181610D
1412,山东,谷神生物科技集团有限公司,913713228150581U
1413,山东,山东省商标新源热电有限公司,9137148273066751XU
1414,山东,山东天力电力有限公司热电厂,9137148267587030D
1415,山东,乐东沂源热电有限公司,9137131104202988XW
1416,山东,山东江河源农业有限责任公司,91371245720742774B
1417,山东,临沂国科热电有限责任公司,9137132735299828X
1418,山东,岚恒平原化工有限公司,9137142671441R1R7
1419,山东,平原县天乐热电有限公司,91371426MA3C6AL676
