序号,省(区、市),单位名称,统一社会信用代码
211,山西,山西节能资安电力节能服务有限公司,91140223359420033K
212,山西,山西资聚热燃气有限公司吉留发电厂,911404246966670137
213,山西,长治晋源发电有限公司,91140407858371215X
214,山西,山西漳泽煤业(集团)有限责任公司五阳热电厂,9114042377518348XM
215,山西,山西沁新煤业有限公司城西发电厂,911404231MA0KJY09
216,山西,天脊煤化工集团股份有限公司,911400001109001308
217,山西,山西建筑漳泽化工有限责任公司,9114000788542760L
218,山西,壶关第二发电厂,911404277410753222
219,山西,阳城国际发电有限责任公司,91140006002030681C
220,山西,大唐阳城发电有限责任公司,91140000776713657A
221,山西,阳煤燃烧能源有限责任公司,9114052269427315XM
222,山西,国投晋城热电有限公司,9114052567122601Q
223,山西,晋城恒光硅石石热电有限责任公司,91140500743005580U
224,山西,晋城新东方热电有限公司,9114052576474830X
225,山西,国电华北电力有限责任公司霍州发电厂,91141000813099239P
226,山西,中电投同煤临汾热电有限责任公司,91140000696564247B
227,山西,中煤榆林热电有限公司,91141000778122105C
228,山西,山西漳泽煤业股份有限公司马鞍山热电分公司,911410816666236936
229,山西,壶关汇森第二发电有限公司,91140133376743450N
230,山西,山西光华电力有限责任公司,91140007159345871
231,山西,山西宜能源有限责任公司,91140881MA0K4CLU9H
232,山西,山西大唐国际运城发电有限责任公司,91140800738565615Y
233,山西,山西漳泽煤业股份有限公司河津发电分公司,9114082113872091J
234,山西,河北津永鑫电力有限公司,91140882754958949C
235,山西,中电投中国煤聊煤热电有限责任公司,911408000707768403
236,山西,中煤宁夏电力有限责任公司,9114087285806222F
237,山西,运城兴和热电有限责任公司,91140806680297711
238,山西,山西兴盛化工(集团)华丰电力有限责任公司,91140827671220460B
239,山西,山西中煤华普能源有限责任公司,9114000851240378F
240,山西,山西绛县铝化有限公司,91140820738451416
241,山西,中铝国际热材料有限公司,91140802375627036W
242,山西,运城市百银纸业有限公司,91140821136647070R
243,内蒙古,内蒙古电热发电有限公司热电天维热电分公司,91150121MA0MQJQ8N
244,内蒙古,北京中电宁电力有限公司呼和浩特铝业有限公司,911501001983110B
245,内蒙古,山西泰裕能源有限责任公司,91150102696898942K
246,内蒙古,内蒙古大唐国际托克托电有限责任公司,91150311005393262B
247,内蒙古,内蒙古大唐西开托克托发电有限责任公司,91150427741079096U
248,内蒙古,内蒙古大唐国际呼和浩特热电有限责任公司,9115012206692875
,,,91150122755261871G
