序号,省(区、市),单位名称,统一社会信用代码
2142,新疆,新疆其亚电力有限公司,916523275643616373
2143,新疆,神华神东电力新疆轮台五彩湾发电有限公司,91652327805351693N
2144,新疆,大唐呼图壁能源开发有限公司热电厂,9165233592871128A
2145,新疆,国网能源康发电有限公司,9165230292765456P
2146,新疆,华能新疆康热电有限责任公司,9165230271088412X8
2147,新疆,新疆翔犇发电有限责任公司,916523246864527720
2148,新疆,新疆翱翔科技有限责任公司,916523247486629665
2149,新疆,新疆天电合智能源技术有限公司,9165230055911670J
2150,新疆,华电新疆发电有限公司昌吉分公司,916523006978225134
2151,新疆,特变电工股份有限公司能源动力分公司,9165000071077489D
2152,新疆,玛纳斯厚苓达托有限公司,91652324397431566L
2153,新疆,新疆联能源有限公司,9165232766667022XF
2154,新疆,新疆昌吉控股能源有限责任公司,91652301280166608
2155,新疆,中能电磁电能有限公司,9165232560529033Y
2156,新疆,新疆蛟山电力能源有限公司,91652300057732834U
2157,新疆,新疆洁化工有限限公司,916523069874857XM
2158,新疆,新疆中移华学院股份有限公司,91650000689594039B
2159,新疆,新疆丰喜育有限有限公司,9165230263603830F
2160,新疆,新疆神火电有限公司,9165232576438759K9
2161,新疆,新疆东方希望有色金属有限公司,9165232564387693P
2162,新疆,新疆湘源资本控股有限公司,916523245725455833
2163,新疆,新疆泰斯控化工有限责任公司,916523000853547475
2164,新疆,国电电力郑孜发电有限公司,91652300524399780
2165,新疆,中国石油天然气股份有限公司独山子化化分公司,91650202712988411
2166,新疆,新疆天乘公司有限公司,9165423269787115X
2167,新疆,国家电投集团新疆能源化工有限责任公司乌热电分公司,9165420266846516XM
2168,新疆,国网能源样星机械有限公司,9165422676056693U
2169,新疆,中粮屯河股份有限公司领辔业北分公司,916542272696882XB
2170,新疆,中铝屯河开榨机械有限公司,9165270079703359F
2171,新疆,新疆十完毕业有限公司,9165270078637475J
2172,新疆,新疆圣维能服份有限公司（热电厂）,9165420049773679317P
2173,新疆,新疆丰孚光芒光热能化有限公司热电厂,916542225166994774C
2174,新疆,国网能源燃气冷热有限公司（大新疆电厂家）,9165270051616414X2
2175,新疆,国网能源热燃热电有限公司,91652700516414X2
2176,新疆,中煤检查发电有限公司,9165230595196391M
2177,新疆,新疆华电热热电有限责任公司,91652305500209198R
2178,新疆,国电哈密煤电开发有限公司,9165220313310050Y
