序号,省(区、市),单位名称,统一社会信用代码
21,天津,天津国电津能热电有限责任公司,91120110773170746
22,天津,天津军粮城热电有限责任公司,9112011207304978X
23,天津,天津陈塘热电有限责任公司,9112010303066846F
24,天津,天津津清热国际热电发电有限责任公司,9112027505060092E
25,天津,天津华佳物业发展有限责任公司,91120257128239294W
26,天津,天津华能杨柳青热电有限责任公司,9112011130369465F
27,天津,华能塘沽(天津)燃气热电有限责任公司,911201163003705562
28,天津,天津津滨海方力有限责任公司,91120116705061059Q
29,天津,天津电建津滨热电有限责任公司,9112011659546210XF
30,天津,天津华电福清热电有限责任公司,91120225897892180
31,天津,天津津沽热电有限责任公司,91120100613067112F
32,天津,中国石油化工股份有限公司天津分公司,91120000722958405G
33,天津,玖龙纸业(天津)有限公司,911202216688097903
34,天津,天津津缘热发电有限责任公司,9112011708303412F
35,天津,天津保护电源股份有限公司,9112011610310702XW
36,天津,天津华电高齿热电有限责任公司,9112110661228278B
37,天津,天津华电北城电力有限责任公司沧源公司,91120113758434985F
38,天津,国电邯热电电力有限责任公司,91130426763441832N
39,河北,国电内蒙高生发电股份有限公司,91130467611760776G
40,河北,河北电建段玉化电有限公司,91130000611110408T
41,河北,河北西段城第二发电项目有限责任公司,91130000752436982B
42,河北,河北北沾化电力发电有限责任公司,91130294878073449Z
43,河北,河北雄安预发电有限公司,91130528687024809Y
44,河北,河北建科发电发电有限公司,91130911735605449Z
45,河北,隆能保定发电有限责任公司,91130607239271669D
46,河北,国电承德热电公司,911308072852919836
47,河北,国电承德热电二公司,91130803656006163
48,河北,建设承德热电二公司,9113000757926759452
49,河北,邯郸热电(集团)发电公司裕西发电厂,91130006683613599X
50,河北,大唐国际发电股份有限公司张家口发电厂,911307005629475942
51,河北,河北北控投热化电有限公司,91130006683011018
52,河北,国电东分热电项目有限公司软件,91130007431450741R
53,河北,河北篙华投热电有限公司,91130500798785857L
54,河北,衡水电发热电有限公司,91130508724913716T
55,河北,石家庄电力热电公司闫铸热电厂,911308076972891356
56,河北,,911311026867148045
57,河北,,91130000474686909X
58,河北,,
