序号,省(区、市),单位名称,统一社会信用代码
324,内蒙古,格尔能酒有限责任公司,911506227552853010
325,内蒙古,蒙泰丰泰动力有限责任公司,91150622667336100M
326,内蒙古,京泰发电有限责任公司,911506226928597128
327,内蒙古,北方胜狮煤电有限责任公司,91150622701419883H
328,内蒙古,国电伊犁格尔发电有限责任公司,911506222M0M0LL7P
329,内蒙古,霍林郭勒发电有限公司,9115060273006563L
330,内蒙古,图电伊电解东胜燃电有限责任公司,91150602957348121W
331,内蒙古,鄂尔多斯北狮燃电有限责任公司,91150602915056362
332,内蒙古,鄂尔多斯京泰热电有限责任公司,91150602816931343
333,内蒙古,神东狭泥煤电有限责任公司,91150625695292289F
334,内蒙古,伊犁毕夜化工有限责任公司,911506256569091174
335,内蒙古,奇峰化工有限公司,91150625255811746E
336,内蒙古,鄂尔多斯伊兴化工有限责任公司,91150622AM00W4XTN0T
337,内蒙古,蒙荣纬业华南化工有限责任公司,91150627MAN027RBX3
338,内蒙古,神华神东地力煤化公司上海热电厂,91150624552812701U
339,内蒙古,鄂尔多斯中胜能源有限责任公司,911506219717826Z6N
340,内蒙古,伊犁丰禾利德煤炭有限公司,91150621774965054F
341,内蒙古,达拉特旗龙珠环电热有限责任公司,9115062114121054C
342,内蒙古,宁东能发电有限责任公司,911506271361367360
343,内蒙古,京达发电有限责任公司,91150621576981470
344,内蒙古,尼雅次发电有限责任公司,91150627671626246L
345,内蒙古,鄂尔多斯市乌兰煤煤燃气热电有限责任公司,911506006090590383Y
346,内蒙古,内蒙古双欣环保材料股份有限公司,91150627527696250
347,内蒙古,鄂尔多斯市东恒煤电有限责任公司,91150529158844537B
348,内蒙古,苏伊伊楚发电有限责任公司,91150900539365585G
349,内蒙古,京宁热电有限责任公司,9115090061060535C
350,内蒙古,吉亨京达电力有限责任公司,911506925747399625
351,内蒙古,乌兰察布开发实业有限公司,911509005888269958
352,内蒙古,内蒙古能源发电靖恒电有限公司,91150981MA0M0LN3B
353,内蒙古,内蒙古京能发电有限责任公司,91150981MA0PXD491
354,内蒙古,内蒙古丰苑煤电有限责任公司,911509028684309646
355,内蒙古,宁儿能源科技有限公司,911509215788453XXP
356,内蒙古,吉伊乌兰布和光法泥有限公司,911509234913081177
357,内蒙古,博天腾业（察尔腾）有限公司,9115092394591504W
358,内蒙古,高为集团有限公司,91150832772046533Y
359,内蒙古,甘肃电投电力有限责任公司乌拉特发电厂,911508275678664400
360,内蒙古,巴彦淖尔紫金鲁金金属公司,
