序号,省(区、市),单位名称,统一社会信用代码
929,浙江,平湖弘成热电有限公司,91330482146682200H
930,浙江,浙江衢州景沃纸业有限公司,91330000710987018Q
931,浙江,平湖桑成环保科技有限公司,91330000660556741J
932,浙江,浙江山鹰纸业有限公司,913302427392365998
933,浙江,浙江恒祥热电有限公司,91330424753701636U
934,浙江,桐宁马桥永和市热电有限公司,9133048177310510663
935,浙江,海宁虹安热电有限公司,91330481744116893C
936,浙江,浙江华电热电有限公司,913304817511698355
937,浙江,浙江华孚制药纺织印染有限公司,91330481755936889A
938,浙江,浙江桐昆丰旭化学股份有限公司,9133000041293966622
939,浙江,浙江新海电能有限公司,91330000758075524L
940,浙江,桐乡爱姆环保能源有限公司,91330483MA28041XL
941,浙江,华能浙江乌热电有限责任公司,9133014830595677145
942,浙江,桐乡院施雅事环保热电有限公司,9133000786447516R
943,浙江,浙江新金梦燃发有限公司,913300007280853728
944,浙江,浙江新和能源有限公司,91330007330185189H
945,湖南,湖南加纳太湖阻焰电力有限公司,91330500746311432
946,湖南,湖南皇冕电和热力有限公司,913305007509812808
947,湖南,湖南加纳犁耕重科技有限公司,913305005719057592
948,湖南,国电湖州南浔天然气热电有限公司,91330500396775846H
949,湖南,湖州新奥洋口港热电有限公司,91330503051312098R
950,湖南,浙江嘉基天然气发电有限公司,91330500753036438F
951,湖南,慈溪星中热电有限公司,913305007652060271
952,湖南,德清热能电有限公司,913305211470821942
953,湖南,湖州加利新和热电有限公司,91330500747763023Y
954,湖南,浙江兄光生物科技有限公司,91330512609585615G
955,湖南,华能国际电力股份有限公司长电厂,91330521MA2905A6N
956,浙江,浙江星泰兴天然气发电有限公司,9133000073455629R
957,浙江,浙江星长兴天然气热电有限公司,91330500769624613R
958,浙江,浙江新能长兴发电有限公司,91330520543244345F
959,浙江,华星（安吉）燃机热电有限公司,91330500759631534K
960,浙江,浙江安吉丁润热电有限公司,9133050596819061XR
961,浙江,湖州润娸热电有限公司,913305235051451552
962,浙江,绍兴中成热电有限公司,913305205538236995
963,浙江,浙江永能尹新源热电有限责任公司,91330600145962083D
964,浙江,浙江天马热电有限公司,9133012276982546M
965,浙江,绍兴远东热电有限公司,91330602753014917B
966,浙江,,91330621755902387X
