序号,省(区、市),单位名称,统一社会信用代码
1838,广西,广西飞田锌矿有限责任公司,9145132219980478U
1839,广西,龙州华银矿业有限公司,914512436801433QJ
1840,广西,广西华磊新材料有限公司,91451000MA5KLXC2Q
1841,海南,华能海南发电股份有限公司海口电厂,91469027793114699X
1842,海南,华能海南发电股份有限公司海口电厂,9146020047788350L
1843,海南,华能海南发电股份有限公司东方电厂,91469007681167569G
1844,海南,中海海南发电有限公司,9146300721281869A
1845,海南,国电东方发电有限公司,91469033599403802
1846,海南,海南鑫能发电有限公司文昌分公司,9146900M5AT9BM1M52
1847,海南,海南金海浆纸业有限公司,9146300620050666G
1848,海南,攀钢集团重庆钛业有限公司,91500000261901522N
1849,重庆,东方希望重庆水泥有限公司,91500230688919962K
1850,重庆,华电国际电力股份有限公司重庆发电厂,91500230659888313N
1851,重庆,重庆华峰化工有限公司,9150010255675135M
1852,重庆,重庆中机龙桥热电有限公司,91510012858003295U
1853,重庆,重庆市涪陵区开县能源建设开发有限责任公司,91510026685090987
1854,重庆,国家电投集团重庆合川发电有限公司,9150117753065976T
1855,重庆,重庆三川化工业有限公司,91500117203643380M
1856,重庆,华能重庆珞璜发电有限责任公司,91500000268506323M
1857,重庆,玖龙纸业（重庆）有限公司,91500009758882415
1858,重庆,国家电投集团重庆白鹤电力有限公司,91500234621193896D
1859,重庆,华能国际重庆燃机发电有限责任公司,916500086253273F
1860,重庆,重庆南川川仪先锋氧化铝有限公司,9150011974289153G
1861,重庆,重庆南川川仪水红氧化铝有限公司,91500119M5AX56B99
1862,重庆,重庆港能电铝有限公司,9150022268154373M1
1863,重庆,重庆玖能电力有限公司,91500222750072900W
1864,重庆,重庆市建筑砼发电有限责任公司,91500226753083937R
1865,重庆,重庆大足卧龙石柱发电有限责任公司,9150010281239230K
1866,重庆,双钱集团（重庆）轮胎有限公司,9165000663566178C
1867,重庆,国电重庆恒泰发发电有限公司,9150010743539308A
1868,重庆,神华电荷电力有限责任公司重庆分公司,915501122006785463
1869,重庆,重庆鑫格化股份有限公司,9150011724898843
1870,重庆,重庆理文造纸有限公司,915000874874136D
1871,重庆,重庆蓝煤发电有限公司,91500135206930C4K
1872,重庆,重庆云田化有限公司,9150023568720510U
1873,重庆,欧美雅化学碳能（重庆）有限责任公司,9155000765839498
1874,重庆,中国石化集团重庆川维化工有限责任公司,91500000250370896
1875,重庆,重庆优恩丹方投资有限责任公司,9150011557899743D
