序号,省(区、市),单位名称,统一社会信用代码
59,河北,河北西柏坡发电有限责任公司,911301318043288021
60,河北,建投沧州热电有限责任公司,911305273918198866
61,河北,华润电力(唐山)丰润有限公司,91130200639340143P
62,河北,沧州华润热电有限公司,91130900717868157F
63,河北,华润电力(涿鹿)有限公司,91130906506490124E
64,河北,河北建投任丘热电有限责任公司,9113098277615447XY
65,河北,秦皇岛发电有限责任公司,91130300700611419P
66,河北,大唐保定热电厂,911306008059435839
67,河北,大唐国际发电股份有限公司唐山花园发电厂,91130700183047676
68,河北,河北大唐国际张家口热电有限责任公司,9113070167990964XU
69,河北,大唐国际保定热电分公司新望发电,911302008407918056
70,河北,唐山市开滦热电有限责任公司唐山热电分公司,911302007329123631
71,河北,河北大唐国际迁安热电有限责任公司,911302038728570626F
72,河北,大唐蔚州热电有限责任公司,91130685054252811
73,河北,国电电力发展股份有限公司邯郸热电厂,911304057893487227
74,河北,河北邯郸热电有限公司,9113040071332737
75,河北,河北华电石家庄裕华热电有限公司,911300007913866517
76,河北,河北华电石家庄热电有限公司,91130107131876450
77,河北,大唐河北发电有限公司马头热电分公司,91130409296957407C
78,河北,承钢北方发电有限公司,911306815775194530
79,河北,华润电力(唐山曹妃甸)有限公司,9113020769817810G
80,河北,河北大唐国际陡河发电有限责任公司,9113020073738905J
81,河北,唐山市曹妃甸热电有限公司,91130200610786477
82,河北,河北大唐国际丰润热电有限责任公司,91130201687524510X
83,河北,河北建投能源综合开发有限公司,911301821072291336
84,河北,张家口蓝城能源有限公司,9113062876620983P
85,河北,淄博新昌热电有限责任公司,91130630108160102X
86,河北,河北长润环保科技有限公司,91130628059110184Z
87,广东,广东长青(集团)满城热电有限责任公司,91130607239851273C
88,河北,河北中科能源有限公司,91131815604809117
89,河北,唐山市承德市希尔邦有限公司,911302070266391
90,河北,开滦热电有限公司,9113027916857056F
91,河北,玉田县顺发热电实业有限公司,9113007771850565
92,河北,迁安生辉热电有限公司,91130485332668879
93,河北,大唐唐安发电有限公司,91130575589921624M
94,河北,陕煤天池热电有限公司,91132520094087234X
95,河北,冀中能源股份有限公司东庞矿开石热电厂,9113050766686198R
96,河北,冀中能源峰峰集团有限公司九龙矿石热电厂,91130492692089340T
