序号,省(区、市),单位名称,统一社会信用代码
135,山西,山西大陆国际云冈热电有限责任公司,9114020017986538XQ
136,山西,中煤太原能源集团有限责任公司,91140200766493343P
137,山西,山西潞安阳光热电有限公司,9114020083709727T
138,山西,山西美锦大唐热电有限公司,911402076264440XK
139,山西,国电晋北大唐岱山发电有限公司,91140209742082571
140,山西,国电电力大同发电有限责任公司,9114020736341078X
141,山西,山西合成橡胶集团有限责任公司,9114000011039029X4
142,山西,大同华岳热电有限责任公司,911402075272828523
143,山西,阳煤集团阳顺化工有限责任公司,911407236991054381
144,山西,华电国际电力股份有限公司朔州热电分公司,91140000592969770B
145,山西,山西大唐阳城神头发电有限责任公司,91140600175928128B
146,山西,神华国能集团有限公司神头第二发电厂,9114060011141066XH
147,山西,山西平朔煤矿石炭井有限责任公司,911400073435466699
148,山西,山西晋光光电有限责任公司,9114060868259104J
149,山西,山西沁炼煤矿石炭井有限责任公司,911406217646679567
150,山西,山西安康电电子开发有限责任公司,911402646453096E
151,山西,山西京玉发电有限责任公司,9114060878161334N
152,山西,山西中煤板块煤炭研究所,91140007435208403
153,山西,宁丰电科技太阳能有限责任公司,9114000855816824H
154,山西,华电仿小矿学校有限责任公司,9114090752976978E
155,山西,山西晋能耐用发电有限公司,91140930736333166M
156,山西,神华开东电力山西前发电有限公司,911409300926929917
157,山西,榆关县夫奠电力有限责任公司,911409327516094X1K
158,山西,山西潞电开发热电有限公司,91140000792213230A
159,山西,国家煤炭集团同仁个别有限公司热电分公司,91140900746401990
160,山西,阳泉煤业（集团）股份有限公司发供电分公司,911403X0022057983
161,山西,山西润燎发电有限责任公司,9114000071071880K
162,山西,阳泉市南嫁龙川风电有限责任公司,911403216610439597J
163,山西,山西国光光电有限责任公司,91140000713679818W
164,山西,山西光菲电力有限责任公司,91140321MA0GRFJY93
165,山西,沙口科热丽再生能源有限责任公司,91140321MA0GRFJY93
166,山西,山西国峰煤电有限责任公司,91141182054194760B
167,山西,山西昌压力方有限责任公司,9114110069298290U
168,山西,山西国储煤业有限公司,911411057271854236
169,山西,山西国际能源集团洗发电有限责任公司,9114125672330606XX
170,山西,山西华光发电有限责任公司,91140000710032286M
171,山西,山西烧机电力有限责任公司,911400007150505707G
172,山西,山西岢父煤矿石炭井有限责任公司,9114181734000923K
