序号,省(区、市),单位名称,统一社会信用代码
625,上海,上海外高桥发电有限责任公司,9131011523323621M
626,上海,上海申能崇明热电有限公司,913101155543071XW
627,上海,上海电力股份有限公司吴泾热电厂,91310000752913929P
628,上海,上海长兴岛发电有限责任公司,913102306312569857
629,上海,上海吴泾第二发电有限责任公司,91310115631639185E
630,上海,上海外高桥第二发电有限责任公司,91310115632080651P
631,上海,华能国际电力股份有限公司上海石洞口第一电厂,9131000060722180A
632,上海,上海上电漕泾发电有限公司,9131011660798822N
633,上海,华能上海石洞口发电有限责任公司,913101136778617501
634,上海,上海闵行燃气热电有限责任公司,913100007178507312
635,上海,上海漕泾发电有限责任公司,913100073621974X7
636,上海,上海外高桥燃机电厂,91310000766472167D
637,上海,华能上海燃机发电有限责任公司,913101137709624214
638,上海,上海外高桥第二发电有限责任公司,91310115718269277
639,上海,华能国际电力股份有限公司上海石洞口第二电厂,9131000070283576F
640,上海,上海电力股份有限公司罗泾燃机发电厂,9131000084058194J
641,上海,上海华电闵行能源有限公司,91310112586762079X
642,上海,上海外高桥发电有限责任公司,91310120055492849H
643,上海,上海漕泾热电有限责任公司,913100007462554R
644,上海,上海燃气集团股份有限公司,9131000083221291W
645,上海,中国石化上海高桥石油化工有限公司,9131000MA1K38CF47
646,上海,上海申能崇明发电有限公司,9132030802680986Q
647,上海,上海能泰发电有限公司,91310120351118668P
648,江苏,中国石化集团资产经营管理有限公司扬子石化分公司,91320100660691249D
649,江苏,华能国际电力股份有限公司南京电厂,91320100716265093
650,江苏,南京化学工业燃煤电有限公司,91310100748249659F
651,江苏,江苏常熟发电有限公司,913200007638537939
652,江苏,华能南京电厂,91320109580846158D
653,江苏,大唐南京发电厂,9132000837454642U
654,江苏,华能南京燃机发电有限公司,91320130841757044
655,江苏,华能南京燃煤发电有限公司,91320114723559195
656,江苏,南京华润热电有限责任公司,9132011754351255X
657,江苏,大唐南京热电有限责任公司,9131020001125711
658,江苏,扬子石化一期煤气限电等用电厂,91320000413751600C
659,江苏,中石化集团南京化学工业有限公司,91320100731277177
660,江苏,中国石油化工股份有限公司金陵分公司,913202089794317P
661,江苏,江苏国信扬电燃热有限公司,9132028505295774M
662,江苏,江苏国信协联燃气热电有限公司,
