序号,省(区、市),单位名称,统一社会信用代码
1534,河南,平顶山姚孟发电有限责任公司,91410400755196136Y
1535,河南,国家电投集团河南电力有限公司平顶山发电分公司,914104005569324208
1536,河南,国家电投集团平顶山热电有限公司,914104007538973XXB
1537,河南,河南神马马龙化工有限责任公司,91410000070000791G
1538,河南,平顶山市高热燃能有限公司,91410411706571286A
1539,河南,中国平煤神马集团联合盐化有限责任公司,914101422668883931N
1540,河南,平顶山市神马联合电力有限公司姚孟热电厂,91410482599101018N
1541,河南,中国平煤神马集团尼龙科技有限公司,914104009049949903
1542,河南,安阳华祥工业集团有限责任公司,91410500172191923G
1543,河南,大唐林州热电有限责任公司,914105816700588774
1544,河南,大唐安阳电力有限责任公司,91410500172195759G
1545,河南,大唐安阳发电有限责任公司,91410500756900906Y
1546,河南,林州市清源餐饮有限公司,91410518MA3X9HDJ0J
1547,河南,河南昊天农业开发有限公司,9141060876235548G
1548,河南,鹤壁煤电股份有限公司热电厂,91410600564273370R
1549,河南,鹤壁煤电热力有限责任公司,91410602269087068
1550,河南,鹤壁丰鹤发电有限责任公司,91410600763141336G
1551,河南,鹤壁煤电股份有限公司化工分公司,914106005885636479
1552,河南,鹤壁市宝山电厂,9141000635001388C
1553,河南,卫辉市聚能化工有限公司,914107106262160XP
1554,河南,河南省天利科技有限责任公司,91410782094457465T
1555,河南,新乡白鹭煤业有限公司,91410722515986479P
1556,河南,河南兴泰纸业有限公司,91410721697307482M
1557,河南,新乡县恒新热力有限责任公司,91410721MA3X9B823L
1558,河南,新乡新亚纸业有限公司,91410000071374009G
1559,河南,华电郑东发电有限公司,91410700659974146
1560,河南,国电投新乡豫新发电有限责任公司,91410700712930335Y
1561,河南,华电新乡发电有限公司,9141072853888237
1562,河南,河南孟电集团热力有限责任公司,91410827753241830P
1563,河南,新乡化纤股份有限公司,91410000700014285
1564,河南,新乡中艺热力有限责任公司,91410827054747431T
1565,河南,新乡中益发电有限公司,9141080128590848134
1566,河南,国家能源集团焦作电厂有限责任公司,91410821083842501
1567,河南,焦作金冠煤电有限公司,914108122447503885
1568,河南,华润电力焦作有限公司,9141080052643285Y
1569,河南,焦作市电力有限公司,914108206785238U
1570,河南,焦作焦化（集团）鸿德电力有限责任公司,91410800714751069G
1571,河南,河南省武陟马村源煤化工有限公司,914108037457152450
,,,914108237551874560
