序号,省(区、市),单位名称,统一社会信用代码
1420,山东,德州利源纸业有限公司,91371426MA3PJU932U
1421,山东,山东东营龙成热电有限公司,91371428063508891
1422,山东,夏津县热电有限公司,91371427755420531N
1423,山东,庆云隆盛热电有限公司,91371423312783921E
1424,山东,德州阳光元热电有限责任公司,913714007292694261
1425,山东,华能国际电力股份有限公司德州电厂,91371400167270747F
1426,山东,山东华鲁恒升化工股份有限公司,913700007232868585L
1427,山东,冠县冠翔木业有限公司,913715257639368685
1428,山东,冠县恒润热电有限公司,91371525762870360C
1429,山东,东阿华通热电有限公司,91371524760091185M
1430,山东,大唐临清热电有限公司,91371851550949296N
1431,山东,临清市祥燃热电有限公司,91371581MA3MEQHP29
1432,山东,临清远洲电力有限责任公司,91371581733717682A
1433,山东,山东希望森源实业有限公司,913715227528815638
1434,山东,阳谷热泉热电有限公司,913715214568542X3
1435,山东,山东商唐电厂,9137152616821724W
1436,山东,山东时代（集团）有限责任公司,91371526182127528
1437,山东,山东荣林纸热电有限公司,913715267825998495
1438,山东,枣平华孚华电枣庄热电有限公司,913700679712461N
1439,山东,聊城德润纸制有限公司,91371500791515198
1440,山东,茌平齐鲁供热有限公司,91371523732603456T
1441,山东,山东华电电力有限公司聊城发电厂,91371500272653541E
1442,山东,国家能源聊城发电有限公司,91371500787158388B
1443,山东,鲁西化工集团股份有限公司动力分公司,913715006619802290
1444,山东,聊城慧天热电有限公司,91371500760047729F
1445,山东,华能聊城热电有限公司,9137150743384762U
1446,山东,菏泽北海恒和新材料有限公司,9137160058190837L
1447,山东,菏泽市北区工业新区新材料有限公司,913711624079650023
1448,山东,邹平县汇金热电有限公司,91371626MA3C9HLF5B
1449,山东,山东滨北新材料有限公司,91371600576635185E
1450,山东,无棣鹏渤热力有限公司,91371600G670995104
1451,山东,滨州泰安热电有限公司,91371602739271836D
1452,山东,山东滨源泰达热电有限公司,91371625735540148L
1453,山东,山东泰鸿热力有限公司,91371600572876456F
1454,山东,滨州东力热电有限公司,9137162767595980D
1455,山东,山东明逸热电有限公司,9137172616232490678
1456,山东,山东菏建建筑集团有限公司恒丰分公司,91371625726697150J
1457,山东,山东盛和建施有限公司,
