序号,省(区、市),单位名称,统一社会信用代码
1230,山东,中铝山东有限公司,913700003236869467
1231,山东,华电聊城热电有限公司,91370300734704736Y
1232,山东,鲁翰园翔龙思股份有限公司,91370303MA3C68PR8H
1233,山东,阳煤集团淄矿齐鲁第一化肥有限公司,91370305756382010G
1234,山东,潍坊滨海达仕工贸有限公司,91370730374051654
1235,山东,山东丰源泗流电力有限公司,913704075679373XQ
1236,山东,枣庄八一次煤炭热电有限责任公司一期,91370400752689138F
1237,山东,山东丰源泗流电力有限公司,91370400762557345
1238,山东,远通纸业（山东）有限公司,91370006731793168
1239,山东,枣庄市建阳热电有限公司,91370400509316475
1240,山东,山东圣晖煤电有限公司,91370400672209165R
1241,山东,华电聊城新燃热电有限公司,913704811699815868
1242,山东,枣庄业翔新能源焦炉煤气焦电有限责任公司,91370490748992046L
1243,山东,胜州亿达华燃煤电力有限公司,913704815752656942Q
1244,山东,胜利富源燃气供煤热电有限公司,9137048157451815Y
1245,山东,山东恒工工贸有限公司,913704811699857374
1246,山东,胜州市六荣煤气热电有限公司,913704815891152573
1247,山东,山东胜利燃源热电有限公司,91370481754438979G
1248,山东,山东齐贤生化股份有限公司,91370481189697504P
1249,山东,竞争营销化工有限公司,91370406644327461
1250,山东,华电国际电力股份有限公司十里泉发电厂,913704006144463831
1251,山东,山东枣庄洞煤电力有限公司,913704007526799992
1252,山东,中国石化集团胜利石油管理局有限公司胜利发电厂,91370050864731150R
1253,山东,胜利电厂（东营）热电有限公司,913705005791185X1N
1254,山东,东营市胜利热能电有限责任公司,91370512753123854
1255,山东,广饶县大王热力有限公司,91370523MA3D4NEL2U
1256,山东,东营市西水东洞供电有限责任公司,91370523276687475W
1257,山东,山东东恒热电有限公司,91370523723946234
1258,山东,山东金岭化工股份有限公司,91370007262000368
1259,山东,山东华泰热力有限公司,9137052375445851XJ
1260,山东,利津力能热电有限公司,913705221469223519
1261,山东,利津力能热化有限公司,91370500864214475
1262,山东,东营市滨海热力有限公司,913705005679142475
1263,山东,东营方华化工集团有限公司,91370527352171339
1264,山东,东营金泓热电高科技有限公司,91370507402035006H
1265,山东,东营市滨海燃力有限公司,913705005766169249
1266,山东,东营市滨海燃农荣实业有限公司,913705273700575017
1267,,华能山东发电有限公司烟台发电厂,91370602MA3MBNPF78
