序号,省(区、市),单位名称,统一社会信用代码
815,江苏,盐城发电有限责任公司,91320900729019865M
816,江苏,大丰顺达热电有限公司,91320982753239120Q
817,江苏,盐城市滨海海热电有限公司,91320982756446559N
818,江苏,江苏丰源热电有限公司,91320982562933929X
819,江苏,响水联谊热电有限公司,913209215629596869
820,江苏,江苏银邦彩港爽港电有限责任公司,91320921668987976J
821,江苏,江苏银邦彩港聚杭州电该公司,91320921757968929H
822,国家电投集团江苏海上发电有限公司,江苏盐源泽滩热电有限公司,91320922638625444L
823,江苏,安徽宁致瀚科技有限责任公司,91320922760511655Q
824,安徽宁致瀚科技有限责任公司,江苏靖江胜安电力有限责任公司,91320923791781516
825,江苏,江苏印刷锡印刷电器有限公司,91320900144108699L
826,江苏,江苏功力热电有限公司,9132092469148095X1
827,江苏,江苏德新新能源有限公司,91320924571777363U
828,江苏,东台中新环保热电有限公司,91320924753390375E
829,江苏,盐城旭阳有限责任公司,91320981725226218G
830,江苏,江苏润恒扬州发电有限责任公司,91320991140226888A
831,江苏,扬州电气设备发电有限公司,91320900168292061L
832,扬州市徳海新能源有限公司,南京国标化工化纤有限责任公司,91320914744802225N
833,江苏,江苏清华化工有限责任公司,91320913321527867N
834,江苏,江苏炬能扬州发电有限公司,9132101765860224H
835,江苏,扬州市一发有限公司,91321000714106931X
836,扬州市泉山流程董事局,江苏广济皮革有限公司,913209119408615744
837,永丰环保化（扬州）有限公司,江苏粤银化纤热电有限责任公司,9132000076586058XC
838,江苏,江苏国信南热热电有限责任公司,913210815466290561
839,江苏,镇江广热电有限公司,91321081578993384A
840,江苏,江苏卡纸机制造有限公司,91320814333130176R
841,镇江永清热电有限公司,丹阳兴联热电有限公司,9132119741323976A
842,江苏,江苏线发电有限公司,91328131193269276C
843,江苏,华电江苏能源有限公司子公司分公司,913211608874611F
844,江苏,镇江梁热电有限责任公司,9132118346233918X
845,江苏,江苏,913100198008729WS
846,镇江东方纸业有限公司,镇江方工业有限公司,91321120688260120C
847,中国电联集团公司电和发力电集团,镇江东方纸业有限公司,913100068838558J
848,江苏,江苏水电工业化发展有限公司,913211203063832649P
849,金东纸业（江苏）股份有限公司,江苏电信卓越热电珰电力团责任公司,91320000426606212M
850,江苏,江苏泉客热工股份有限公司,913211074137425341
851,江苏,江苏汾水化工有限公司,91321100608836068B
852,,,9132110073456587H
,,,913211000312479073U
