序号,省(区、市),单位名称,统一社会信用代码
437,辽宁,锦州节能热电股份有限公司,91210700210554497Y
438,辽宁,华能国际电力股份有限公司电厂,9121080064051941K
439,辽宁,华能营口热电有限责任公司,91210800A0QEG9M7I
440,辽宁,葫芦岛滨海热电有限责任公司,91210800771148472J
441,辽宁,营口长热动力有限公司,9121081076293487H
442,辽宁,阜新煤朋热电有限责任公司,912109214708761411
443,辽宁,阜新惠泽煤矸石热电有限公司,91210900121524636A
444,辽宁,辽宁彰武电厂有限责任公司,9121092275107673T
445,辽宁,阜新发电有限责任公司,91210900121562106B
446,辽宁,阜新金山煤矸石热电有限责任公司,912109057618209005
447,辽宁,中国石油天然气股份有限公司辽阳石化分公司,9121000071696207Q
448,辽宁,辽阳国成热电有限公司,912110005948275221
449,辽宁,灯塔市红阳热电有限公司,9121022747149241M
450,辽宁,辽宁沈煤红阳热电有限公司,91211022680985819
451,辽宁,辽宁华电铁岭发电有限公司,912112007146295315
452,辽宁,辽宁清河电厂有限责任公司,91211200J22852690W
453,辽宁,辽宁清原县煤气开发使用责任有限公司,91212817915934389
454,辽宁,开原达发热电有限责任公司,9121128276106957L
455,辽宁,铁法能源（集团）有限责任公司热电厂,912128123853580X
456,辽宁,辽宁宝海景地热乐涛清科技有限公司,9121102078510643U
457,辽宁,华润电力（盘锦）有限公司,91211100546264710
458,辽宁,长春化工（盘锦）有限公司,91211100567572640Y
459,辽宁,盘锦辽河高腾热电有限公司,91211100710938546K
460,辽宁,北票发电有限责任公司,9121138177765678B
461,辽宁,朝阳燕山湖发电有限公司,9121133006749438J
462,辽宁,中国石油天然气股份有限公司锦西石化分公司,9121100471627237D
463,辽宁,航锦科技股份有限公司,912114003728536M
464,辽宁,凌钢华电有限公司,9121140012077168R
465,辽宁,大连远东热电股份有限公司,9121020042189962J
466,辽宁,大连发电有限责任公司,912102007824511639
467,辽宁,大连热电有限公司,9121020041299170U
468,辽宁,大连热电股份有限公司（北海热电厂）,91210200422J29717U
469,辽宁,大连热电股份有限公司（东海热电厂）,912102024129917K
470,辽宁,大连热电股份有限公司蒂森热电厂,91210207761576375N
471,辽宁,大连热电有限责任公司,9121020007155474B
472,辽宁,大连热电有限责任公司大连开发区热电厂,912102007515375Y
473,辽宁,北京安电电力有限责任公司大连开发区热电厂,91210238751851246N
474,辽宁,,91210213234651783
