序号,省(区、市),单位名称,统一社会信用代码
663,江苏,江苏华亚化纤有限公司,91320282754621292N
664,江苏,江苏利港电力有限公司,91320206067921551C
665,江苏,江苏天鸿化工有限公司,913202067494325427
666,江苏,江苏丹宏热电有限公司,91320282M1JXD0R5A
667,江苏,江苏耀晋石庄热电有限公司,91320281753945287L
668,江苏,江苏耀晋纺织有限公司,91320281736541459A
669,江苏,江苏雅美热电有限公司,913202817357128691
670,江苏,江苏利港发电股份有限公司,913202007673973227
671,江苏,江苏热电有限公司,913202811422166403
672,江苏,江苏明华西热电有限公司,913202817724808849
673,江苏,江苏康顺热电有限公司,913202817768871014Y
674,江苏,江苏开拓热能有限公司,913202811422850729
675,江苏,江苏龙达热电有限公司,913202816079840698
676,江苏,江苏源鑫热电有限公司,9132028174910933M
677,江苏,江苏阳光翔热电有限公司,913202817564125744
678,江苏,江苏阳光热电有限公司,9132028154061717P
679,江苏,南钢工程控股有限公司,91320205773272272D
680,江苏,无锡惠联环保热电有限公司,91320207676886861Y
681,江苏,无锡惠联环保热电有限公司,913202057589865X1
682,江苏,无锡反胶热电股份有限公司,91320206596865233J
683,无锡,宜兴天家热电有限公司,9132020001718697827
684,无锡,无锡蓝天燃热电有限公司,9132022780822714R
685,无锡,无锡能达热电有限公司,913202130881985837
686,无锡,无锡惠联环保科技有限公司,91320205720634095J
687,无锡,江苏兴澄海钢铁有限公司,91320206628238743Q
688,无锡,徐州市区热电有限责任公司,9132021607982402P
689,无锡,江苏闵业电力有限公司,913203001364361961L
690,无锡,徐州恒辉电力有限公司,91320305774662489M
691,无锡,铜山昆新汇生有限公司,9132030688003410J
692,无锡,徐州华鑫电力有限公司,913203127385214468
693,江苏,铜山华润电力有限公司,913203127909590X
694,江苏,国华徐州电有限公司,9132030834754343D
695,江苏,丰县盛隆协泰环保热电有限公司,91320306589354763J
696,江苏,徐州天成玻璃有限公司,9132032765397976U
697,江苏,上海艾虹能源股份有限公司发电厂,91320300775345173Q
698,江苏,江苏融业新电有限公司,9132030714846623T
699,上海,江苏徐州胶皮有限责任公司,913203821370316925
700,江苏,,
