序号,省（区、市）,单位名称,统一社会信用代码
1724,广东,深圳南天电力有限公司,9144030618837101D
1725,广东,深圳南山热电股份有限公司,914403068185121H
1726,广东,中海油深圳电力有限公司,9144030681894683I
1727,广东,深圳能源电力有限公司,9144030618874658X
1728,广东,深圳东部电厂有限公司,9144030618821660R
1729,广东,珠海经济特区广澳发电有限公司,91444001925855750
1730,广东,中海油珠海天然气发电有限公司,9144400584728352D
1731,广东,珠海振能湾电力有限公司,914440061748966X6
1732,广东,广东珠海金湾发电有限公司,914440071785911N
1733,广东,中电投珠海横琴热电有限公司,91440067156996XU
1734,广东,华能集团电股份有限公司珠海电厂,914405068860143E
1735,广东,华能国际电力股份有限公司汕头电厂,9144050700821133
1736,广东,汕头经济特区万泽热电有限公司,9144050618339192Q
1737,广东,佛山恒益发电有限公司,9144060617623919D
1738,广东,佛山市福能发电有限公司,91440600536647339
1739,广东,佛山市顺德韶沙热电有限公司,914406077996657XQ
1740,广东,南海发电一厂有限公司,91440605617645589T
1741,广东,南海长海发电有限公司,914406056176463544
1742,广东,佛山市前景铁发电有限公司,91440605792399483H
1743,广东,广东韶关粤江电有限公司,914405072522080F
1744,广东,仁化县坪煤煤矸石电力有限公司,91440224M4MJ6DX09
1745,广东,番禺南沙开发电厂（B厂）,9144026817451696B
1746,广东,韶关市粤华电力有限公司,914402006217943XF
1747,广东,湛江电力有限公司,91440800232100923G
1748,广东,湛江粤电廉江公司,91440800743673301
1749,广东,遂溪县城电力有限公司,9144082378451777J
1750,广东,国电粤二电有限公司,914412006824829669
1751,广东,新会双水火电（B厂）有限公司,91440706691704098E
1752,广东,新会粤新热电联供应有限公司,9144070617699010X
1753,广东,广东国华粤电白沙厂有限公司,91440781772840297A
1754,广东,茂名煤能热电有限公司,914409404941425855
1755,广东,中国石化集团茂名石油化工有限责任公司,91440901949201042C
1756,广东,广场州赛顿发电有限公司,91441323971127462K
1757,广东,广州电赛顿发电有限公司,91441323971127462K
1758,广东,惠州赛顿深电力有限公司,914413005582185X6
1759,广东,中国神华港发电有限公司华煤年热电有限公司,91441300669838702N
1760,广东,广东紫蒙电力厂有限公司,91441400862152707E
1761,广东,广东紫蒙电力地产有限公司,91441422061450240Y
