序号,省（区、市）,单位名称,统一社会信用代码
549,黑龙江,黑龙江华电齐齐哈尔热电有限公司,91230007553431166
550,黑龙江,华电能源股份有限公司牡丹江第二发电厂,9123001301261822C
551,黑龙江,牡丹江热电有限公司,9123000746996078Y
552,黑龙江,牡丹江恒丰热电有限公司,9123000725336206L
553,黑龙江,宁安渤洲热电有限公司,9123012474184809A
554,黑龙江,穆棱市亿阳热电经营有限公司,9123010856602878E
555,黑龙江,牡丹江恒丰企业集团有限责任公司,91230011030302568W
556,黑龙江,佳木斯中燃热电有限公司,91230800574315064
557,黑龙江,华电能源股份有限公司绥芬河热电,9123000677461415U
558,黑龙江,佳木斯新能热电有限公司,91230800752395156U
559,黑龙江,桦南联胜热电有限公司,91230822795048875G
560,黑龙江,富锦东方热电有限责任公司,9123082781926112L
561,黑龙江,富锦舵鑫金圣化科科技有限公司,912308822352849058
562,黑龙江,同江市长恒热电有限公司,912308816774678334
563,黑龙江,抚远新野世热电有限责任公司,912308337026732508
564,黑龙江,华能呼伦华电有限责任公司,91230607129317965K
565,黑龙江,华能大庆热电有限公司,91230605927162634
566,黑龙江,中国石油集团哈尔滨石化公司,91230600MA1T1T11P
567,黑龙江,大庆市益森石化有限公司,9123060777858479R
568,黑龙江,大唐鸡西热电有限责任公司,912303007287268X6
569,黑龙江,大唐鸡西第二热电有限责任公司,91230306888651329
570,黑龙江,鸡东县朝阳热电有限公司,912303286813143243
571,黑龙江,黑龙江剑桥热电有限公司,912303127021258Q
572,黑龙江,鸡东鑫盛煤化焦化有限公司,91230321588130091B
573,黑龙江,鸡西市恒联发电有限责任公司,9123030333833902G
574,黑龙江,鸡西北兴（集团）有限责任公司矿石热电厂,912303073690458XA
575,黑龙江,沈阳燃煤浆高檑煤矿业有限责任公司颚矿石电厂,9123030763063851C
576,黑龙江,国电鸡西热电有限公司,9123030772341807
577,黑龙江,大唐鸡西热电有限责任公司,912305073365472XM
578,黑龙江,黑龙江龙煤鸡西矿业集团有限责任公司虹焰热电公司,912305077620026760
579,黑龙江,黑龙江群星热电有限公司,91230512MA1NFPNS96
580,黑龙江,黑龙江齐马里热力有限公司,91230523MA1UWPE27
581,黑龙江,鹤岗星光热电有限责任公司,912305247674935X
582,黑龙江,华能伊春热电有限公司,91230507621586129Y
583,黑龙江,伊春市新青热电厂,9123077094509800X
584,黑龙江,鹤峰热业采暖热电厂,91230713688831542
585,黑龙江,油田热电有限责任公司,9123072095329409
586,黑龙江,鹤岗迎春热电有限公司,91230781692603952J
