序号,省(区、市),单位名称,统一社会信用代码
853,江苏,国能南京六合热电有限公司,913210027596619XM
854,江苏,江苏前进镇汉川电厂有限公司,913212875204185XB
855,江苏,南京新华电力有限公司,913212287483708Q4
856,江苏,泰州金泰环保热电有限公司,913212917439143057
857,江苏,泰州梅兰热电有限公司,913210020763581791
858,江苏,兴化市热电有限公司,913212811426537A3
859,江苏,大唐泰州热电有限责任公司,9132104063278931X
860,江苏,江苏奥联热化工程有限公司,91320006720112473
861,江苏,新浦义学（泰兴）有限公司,913212836087847472
862,江苏,江苏新动力（沭阳）热电有限公司,91321222578143198F
863,江苏,国家能源集团浙江定电有限公司,9132123007527282801
864,浙江,杭州华半导体创业有限公司,91330101430495149
865,浙江,浙江新能电力股份有限公司萧山发电厂,91330107935286433H
866,浙江,三元控股集团杭热电有限公司,9133010956056900W
867,浙江,杭州靖牌热电有限公司,913301093218751665
868,浙江,杭州靖牌热电有限公司,91330197544239744
869,浙江,杭州绿城经济开发区热力供电有限公司,91330107921202208X
870,浙江,杭州开山热电有限公司,9133010969138368T
871,浙江,杭州靖民火热电有限公司,91330103209875729A
872,浙江,杭州开热电有限公司,91330109715533457
873,浙江,浙江普星级天然气发电有限公司,91330007682250474
874,浙江,浙江省制气干三生物科技有限公司,913301221436436442
875,浙江,桐庐信耀达热电有限公司,91330122750726676N
876,浙江,浙江新安化工集团股份有限公司,913300001429192743
877,浙江,浙江建德业热电有限公司,9133018269708275E
878,浙江,浙江洋丰生物科技集团股份有限公司,91330000143965405Y
879,浙江,浙江合肥江环保热电股份有限公司,913300007572103686
880,浙江,杭州临安华泰生物质能有限公司,9133018586990571L
881,浙江,中策控股集团有限公司,9133010609612074XW
882,浙江,杭州华电干沙热电有限公司,91330101599555247P
883,浙江,杭州雕腾热电有限公司,91330005760210503
884,浙江,浙江旺陵热电有限公司,913300060760694462
885,浙江,杭州临江环保热电有限公司,91330106706168833
886,浙江,杭州泗某泵热电有限公司,9133000440620917G9
887,浙江,浙江开热电有限公司,9133010080270499K
888,浙江,杭州华电环保热电有限公司,913301011506621050
889,浙江,杭州金达莱环保热电有限公司,9133010672M
890,浙江,浙江省能源集团有限公司,9133000678980381
,,,91330106792120573J
