序号,省(区、市),单位名称,统一社会信用代码
1079,福建,华能国际电力股份有限公司福州电厂,91350100X11041238G
1080,福建,福建华电可门发电有限公司,9135012275314528XW
1081,福建,国电福州发电有限公司,913501187593861481
1082,福建,福建省东南电化股份公司,91350000751010634
1083,福建,福州邦特新能源有限公司,91350181070883603X
1084,福建,福建大展纺织新材料有限公司,913501815895274495
1085,福建,福建大唐国际宁德发电有限责任公司,91350900754997337N
1086,福建,福建省福能安砂电供应公司,9135098213561882P
1087,福建,国投云顶澜山县电力有限公司,9135000071785635L
1088,福建,赛得利（福建）纤维有限公司,913503005550954452
1089,福建,中海福建燃气发电有限公司,9135020076152681J
1090,福建,福建省青山纸业股份公司,91350001581574975
1091,福建,福建申武安投资有限公司,91350481518412500Y
1092,福建,雪隆化工股份有限公司,9135040270793413R
1093,福建,神华福建（福港电）发电有限责任公司,91350800666504105M
1094,福建,华电（漳平）能源有限公司,9135081158722846P
1095,福建,莆磙紫金化工股份有限公司,9135000550885443
1096,福建,厦门瀚新拉有限公司,9135021175455687
1097,福建,厦门广宝源国际电力发展有限公司,91350206010244841
1098,福建,厦门赛沃环保能源股份有限公司,91350200737892023U
1099,福建,腾龙树脂制造（厦门）有限公司,91350200612049554
1100,福建,东亚电力打门有限公司,91350200717856302E
1101,福建,厦门闽集热电有限公司,91350206171434XE
1102,福建,国电泉州热电有限公司,913505057531206994
1103,福建,玖龙纸业（泉州）有限公司,913505075557511684
1104,福建,福建晋江热电有限公司,9135058276182874B
1105,福建,福建晋江天然气火电有限公司,913508276168537B
1106,福建,福建省闽北电气有限责任公司,9135058610632488D
1107,福建,福建省美兆生活用品有限公司,91350817052271814
1108,福建,福建洁源科技有限公司,91350581476389174
1109,福建,石狮市垃圾焚烧环保电厂有限公司,913503185932547D
1110,福建,神华福建发电有限责任公司,91350510523042047J
1111,福建,福建枝菲客有限公司,91350175502211451
1112,福建,福建省永春荔美企业有限公司,9135020752211450
1113,福建,联盛纸业（龙潭）有限公司,9135021112318268XU
1114,福建,漳州龙海兆业发展有限公司,9135061557947859
1115,福建,漳州森成纸业有限公司,9135052766683641S
1116,福建,漳州港兴纸品有限公司,913506078698415K
,,,913502776080164WM
