序号,省(区、市),单位名称,统一社会信用代码
1914,四川,四川省宜宾美樱业有限责任公司,9151150072979929L
1915,四川,宜宾手利纸有限公司,91511523874279819F
1916,四川,宜宾纸业股份有限公司,91511500208509874
1917,四川,四川广安发电有限责任公司,91511603289652433J
1918,四川,四川华盛山丘能源集团同方电力有限责任公司,91511618171545550
1919,四川,国电达州发电有限公司,91511702739387465F
1920,四川,国电美姑四川华蓥发电有限公司,91511725767263391Y
1921,四川,四川川煤攀枝花发电有限责任公司,9151170085488188H
1922,四川,青神华力炉糟热电有限责任公司,9151140062766267A
1923,四川,升炜万平纸业有限公司,91511142M462AJ00K8
1924,四川,四川启发新材料有限公司,91511425567128714
1925,四川,成都世纪新能源有限公司,91510100765376288Y
1926,四川,四川能投攀西分布式能源有限公司,915101143992417704
1927,四川,四川自贡鸿华富有限公司,9151032MA662042HX
1928,四川,四川江竹煤电（集团）有限责任公司遵市选煤发电厂,915117009101519169
1929,四川,四川江竹煤电（集团）有限责任公司石板选煤发电厂,91520112871058410
1930,贵州,贵州开林工贸有限公司,91520121797875128L
1931,贵州,贵州华电播州发电有限公司,91520181662990824J
1932,贵州,贵州广钢铝业有限公司,91520184B6118MA6DJJW
1933,贵州,贵州广天化纸业股份有限公司,91520181038985250F
1934,贵州,贵州黔源发电有限责任公司,91520005701989098P
1935,贵州,贵州华电晴隆发电有限公司,9152032170563653
1936,贵州,贵州省水林森态新开发有限责任公司,9152030785458395G
1937,贵州,贵州省黔电力量股份有限公司习水发电厂,91520303671573845
1938,贵州,遵义黔北股份有限公司,91520303371413541W
1939,贵州,大唐贵州毕节发电有限公司,91500022M1481053A
1940,贵州,贵州粤电易发有限责任公司,91520007753371439
1941,贵州,贵州盘江电投发电有限责任公司,91520222M7571844F
1942,贵州,国投盘江发电有限公司,91520006222114515
1943,贵州,华润电力兴县有限公司,91520006839672600
1944,贵州,贵州西电大股电股份有限公司发电厂,91520006201565228D
1945,贵州,国投盘江煤炭股份有限公司永磷研究发电厂,91520007988369922X
1946,贵州,贵州中广发电有限公司,91520002M1565228J
1947,贵州,国电笑黎发电有限公司,9152030622188542C
1948,贵州,国电笑黎二发电有限公司,9152011877260936
1949,贵州,贵州华电持热电有限责任公司,9152031358606795C
1950,贵州,贵州升永发电有限公司,9152032785615516Y
1951,贵州,贵州西电力发电有限责任公司发电一发电厂,9152032085791629J
,,,91520527753458253S
