序号,省（区、市）,单位名称,统一社会信用代码
1005,安徽,安徽淮南平圩发电有限责任公司,91340400850220739D
1006,安徽,淮南平圩第二发电有限责任公司,91340400750458746R
1007,安徽,淮南平圩第三发电有限责任公司,91340400850974691X
1008,安徽,淮沪煤电有限公司,913404076094750ZL
1009,安徽,淮浙煤电有限公司,91340400739397034R
1010,安徽,淮南矿业集团发电有限责任公司（潘三电厂、新庄孜电厂、利明电厂）,913404033928791E
1011,安徽,安徽电力股份有限公司淮南田家庵发电厂,9134040085024721G
1012,安徽,淮浙煤电有限责任公司凤台发电分公司,91340421777386169
1013,安徽,大唐淮南洛河发电厂,91340400850234959P
1014,安徽,安徽淮南洛能发电有限责任公司,9134040730334777X
1015,安徽,中煤新集能源股份有限公司新集一矿,91340400642386829
1016,安徽,中煤新集能源股份有限公司新集二矿,9134040064238644Y
1017,安徽,安徽华电六安电厂有限公司,9134150055019512Q
1018,安徽,马鞍山当涂发电有限公司,91340521769021863X
1019,安徽,皖能马鞍山发电有限责任公司,91340800536158204
1020,安徽,安徽马锐竹有限公司,913405850507337L
1021,安徽,山鹰国际控股股份公司,9134050015032337H
1022,安徽,中国石化化工销售华东管理有限责任公司安庆分公司,913408079983481E
1023,安徽,安徽华峰光纤有限公司,9134080970502306T
1024,安徽,安庆安庆皖江发电有限责任公司,913408077101597X
1025,安徽,国电蚌埠发电有限公司,9134070758506793M
1026,安徽,安徽新源热电有限公司,9134030752539433J
1027,安徽,中粮生物科技股份有限公司（自备电厂谷涧山分厂和淮北公司分厂）,913407017122608T
1028,安徽,安徽中原热电有限公司,91340707N3ZNLJB4
1029,安徽,安徽青中并河股份有限公司,9134000175149009J
1030,安徽,芜湖电厂煤电公司,913406005069980
1031,安徽,中粮新利特发电有限公司,9134162535547887C
1032,安徽,安徽淮北九华发电有限公司,9134075075099669L
1033,安徽,安徽宝丰电气设备有限公司,91340759X520487K
1034,安徽,安徽金禾实业股份有限公司,9134010066837334U
1035,安徽,巢州沪汇热电有限公司,9134010024809090P
1036,安徽,淮北盐业热电有限责任公司,913407075081189C
1037,安徽,安徽华塑股份有限公司,9134092071726987L
1038,安徽,安徽华塑电力化二公司,9134072126807
1039,安徽,安徽华塑能源化工有限公司,913400776019680842
1040,安徽,皖能铜陵热电有限公司,91340720522461747
