序号,省(区、市),单位名称,统一社会信用代码
2066,甘肃,中电建甘肃新能源秦安电有限公司,9162082366002119XP
2067,甘肃,中电建甘肃新能源华亭电有限公司,916208247509407125
2068,甘肃,华能平凉发电有限责任公司,91620000224369878C
2069,甘肃,靖煤集团白银热电有限公司,91620400051357506G
2070,甘肃,韩城第二发电有限公司,9162000624127476W
2071,甘肃,嘉峪关宏晟热电有限责任公司,916200207396467073
2072,甘肃,金川集团热电有限公司,9162300MA7394RY2F
2073,甘肃,兰州铝业有限公司,916201003611474X0
2074,甘肃,甘肃省纤纺烘干热电有限责任公司,9162011172072207M
2075,青海,青海华电大通发电有限公司,91630121710545857L
2076,青海,青海宁北发电有限责任公司,91630000710558797X
2077,青海,华能宁中宁电有限责任公司,91630225649146803F
2078,青海,青海宁北发电有限责任公司湟川分公司,91630006601906096D
2079,青海,青海瑞丰实业开发有限责任公司西宁发电分公司,916330300059141270T
2080,青海,青海发投燃气有限公司,916328000916156563H
2081,青海,中盐青海昆仑碱业有限公司,91630006691381515
2082,青海,青海盐业股份有限公司,91630000226953742J
2083,青海,青海天鹅碳机有限公司,916328246985102023R
2084,青海,青海恒顺电缆制造有限公司,91630066171356823J
2085,青海,青海恒通燃气科技有限公司,91632800291606480Q
2086,青海,青海化化工有限责任公司,91630121679175017Q
2087,宁夏,宁夏启东元光发电有限公司,916400007150706192
2088,宁夏,宁夏电投望华热电有限公司,916400078225976K
2089,宁夏,中铝宁夏能源集团有限公司,916400007508050517
2090,宁夏,宁夏中电建新能源有限公司,916400007508510286
2091,宁夏,国家能源集团宁夏煤业有限责任公司王洼热电分公司,91640000735792297P
2092,宁夏,华电宁夏灵武发电有限公司,916400007749865917
2093,宁夏,宁夏图华宁发电有限公司,91640000744986X9T
2094,宁夏,神华国华宁发电有限责任公司,91641200M475X8J1Y
2095,宁夏,国家电投集团宁夏能源铝业有限公司临河发电分公司,91641200309977417G
2096,宁夏,宁夏电投吴忠热电有限公司,91640118M137728114
2097,宁夏,中宣化铝热电有限责任公司,91640000694331006L
2098,宁夏,宁夏泰升化学工业股份有限公司,916412012255416562
2099,宁夏,国电宁煤第三发电有限公司,9164000780822391R
2100,宁夏,国电宁夏石嘴山电有限责任公司,916400007106207087
2101,宁夏,国电大武口电厂有限公司,91640220104268963J
2102,宁夏,宁夏天津化工股份有限公司,9162000067726032L
2103,宁夏,宁夏瑞海能制氧有限公司,9164022127491391N
